,Land Square Feet,Apartments,Wall Material,Roof Material,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Cathedral Ceiling,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Building Square Feet,Repair Condition,Estimate (Land),Estimate (Building),Sale Price,Multi Property Indicator,Use,O'Hare Noise,Floodplain,Road Proximity,Age Decade,Pure Market Filter,Garage Indicator,Lot Size,Bathrooms,Bedrooms
6935,3780.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1718.0,2.0,45360,197030,260000,0,1,0.0,0.0,0.0,11.4,1,1.0,3780.0,4,1.0
43726,5332.0,0.0,2.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,3.0,0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1533.0,2.0,58650,87940,70000,0,1,0.0,0.0,0.0,10.5,1,1.0,5332.0,3,1.5
192290,3750.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,880.0,2.0,30000,72400,1,0,1,0.0,0.0,0.0,9.5,0,1.0,3750.000000000001,2,2.0
37001,9800.0,0.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,1.0,3.0,0,0.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,2562.0,2.0,41650,317100,268000,0,1,0.0,0.0,1.0,3.9,1,1.0,9800.0,4,2.5
14491,4125.0,0.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,1082.0,2.0,99000,315960,1,0,1,0.0,0.0,0.0,9.8,0,0.0,4125.000000000001,2,1.5
199135,20001.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,3,2.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1680.0,2.0,70000,110340,95000,0,1,0.0,0.0,0.0,6.1,1,1.0,20001.0,4,2.0
88645,6150.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1231.0,2.0,21520,72510,110000,0,1,0.0,0.0,0.0,4.9,1,1.0,6149.999999999999,3,1.5
86961,3750.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,3,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,900.0,2.0,22500,84100,55000,0,1,0.0,0.0,0.0,5.3,1,0.0,3750.000000000001,4,2.0
65784,3958.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,3,2.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1539.0,2.0,23740,80090,20000,0,1,0.0,0.0,0.0,8.2,1,1.0,3958.000000000001,3,1.0
122093,4940.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1168.0,2.0,49400,253070,340000,0,1,0.0,0.0,0.0,8.6,1,1.0,4940.0,3,1.5
28925,20000.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,1.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1288.0,2.0,105000,103610,270000,0,1,0.0,0.0,0.0,6.2,1,1.0,20000.0,3,1.0
182233,4250.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0,3.0,0,2.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,3,2924.0,2.0,238000,645470,1,0,1,0.0,0.0,0.0,10.5,0,1.0,4249.999999999999,3,2.0
117831,20000.0,0.0,3.0,1.0,2.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1560.0,2.0,100000,144030,270000,0,1,0.0,0.0,0.0,6.7,1,1.0,20000.0,3,1.0
164397,14823.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,3,0.0,4.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1759.0,2.0,37050,81820,92500,0,1,0.0,0.0,0.0,5.1,1,1.0,14823.000000000004,4,1.5
86240,4166.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1177.0,2.0,13530,46790,33500,0,1,0.0,0.0,0.0,5.9,1,1.0,4166.000000000001,3,1.0
197961,3125.0,0.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,2717.0,2.0,31250,395220,485000,0,1,0.0,0.0,0.0,1.0,1,1.0,3125.0,4,2.5
2235,4352.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,924.0,2.0,28280,89750,154000,0,1,0.0,0.0,0.0,6.1,1,1.0,4352.0,3,1.0
184480,3750.0,0.0,2.0,1.0,3.0,3.0,1.0,5.0,0.0,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,1035.0,2.0,90000,295240,635000,0,1,0.0,0.0,0.0,9.2,1,0.0,3750.000000000001,2,1.0
154111,4125.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,1,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1678.0,2.0,53620,247230,1,0,1,0.0,0.0,0.0,9.9,0,1.0,4125.000000000001,3,1.5
156157,8454.0,0.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,2.0,1,2.0,5.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1587.0,2.0,25360,159200,160000,0,1,0.0,0.0,0.0,6.4,1,1.0,8453.999999999998,4,2.0
66484,3100.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,2010.0,2.0,35650,85890,89300,0,1,0.0,0.0,0.0,11.2,1,1.0,3099.9999999999995,4,2.0
154854,5508.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,1076.0,2.0,17900,48540,24000,0,1,0.0,0.0,0.0,5.1,1,0.0,5508.0,3,1.0
203266,3750.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,3,0.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,888.0,2.0,37500,117650,137500,0,1,0.0,0.0,0.0,9.2,1,1.0,3750.000000000001,2,1.0
76196,3538.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1320.0,2.0,45990,259690,427500,0,1,0.0,0.0,0.0,10.3,1,1.0,3538.0,3,1.5
103192,6250.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1021.0,2.0,46870,89590,215110,0,1,0.0,0.0,0.0,6.3,1,1.0,6250.000000000001,3,1.5
40069,7320.0,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,3364.0,2.0,36600,176760,1,0,1,0.0,0.0,0.0,6.3,0,1.0,7320.000000000001,4,2.5
28348,4760.572982774252,0.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,7.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,3,996.0,2.0,253050,985750,275714,1,1,0.0,0.0,0.0,12.1,1,1.0,4760.5729827742525,2,1.0
19202,11250.0,0.0,1.0,1.0,3.0,3.0,2.0,5.0,0.0,1.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1594.0,2.0,64680,433320,537500,0,1,0.0,0.0,0.0,7.1,1,1.0,11249.999999999998,3,1.0
69815,5500.0,0.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,910.0,2.0,27500,100840,40100,0,1,0.0,0.0,0.0,6.4,1,1.0,5500.0,2,1.0
163411,8125.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,3,0.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1710.0,2.0,34530,93370,52000,0,1,0.0,0.0,0.0,11.4,1,1.0,8124.999999999997,4,1.5
178429,3780.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,2.0,1,2.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1443.0,2.0,32130,237070,325000,0,1,0.0,0.0,0.0,9.1,1,1.0,3780.0,3,1.5
163236,2837.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,864.0,2.0,28370,87380,12000,0,1,0.0,0.0,0.0,11.6,1,0.0,2836.9999999999995,2,1.0
200402,3875.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1200.0,2.0,27120,152110,185000,0,1,0.0,0.0,0.0,3.2,1,1.0,3875.0,3,1.5
44045,3720.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,740.0,2.0,40920,159430,385000,0,1,0.0,0.0,1.0,9.3,1,1.0,3720.0,2,1.0
39126,7150.0,0.0,3.0,1.0,2.0,3.0,1.0,5.0,1.0,0.0,1.0,1,1.0,4.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1413.0,2.0,26810,169240,165000,0,1,0.0,0.0,0.0,5.7,1,1.0,7150.0,2,1.5
81343,7250.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1157.0,2.0,39870,186530,260000,0,1,0.0,0.0,0.0,6.0,1,1.0,7250.000000000001,3,1.0
178292,7500.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0,2.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,3,1123.0,2.0,20620,77690,110000,0,1,0.0,0.0,0.0,4.5,1,1.0,7500.0,3,1.5
7584,9696.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,0,2.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,3,3079.0,2.0,128470,788750,1200000,0,1,0.0,0.0,0.0,9.2,1,1.0,9696.0,5,3.0
144803,11151.0,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,2.0,4.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,2296.0,2.0,50170,294790,325000,0,1,0.0,0.0,0.0,1.6,1,1.0,11150.999999999996,3,2.5
19017,7500.0,0.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,2.0,3,2.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1196.0,2.0,46870,157870,222500,0,1,0.0,0.0,0.0,6.0,1,1.0,7500.0,3,1.0
153934,13800.0,0.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,0,2.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,3,3879.0,1.0,224250,1086900,2100000,0,1,0.0,0.0,0.0,1.6,1,1.0,13800.0,5,6.0
53545,7320.0,0.0,3.0,1.0,2.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1329.0,2.0,40260,214300,1,0,1,0.0,0.0,1.0,4.7,0,1.0,7320.000000000001,3,1.5
92512,4375.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1132.0,2.0,18590,87190,58000,0,1,0.0,0.0,0.0,5.8,1,1.0,4375.000000000001,3,1.5
12950,7276.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1080.0,2.0,30920,98060,122000,0,1,0.0,0.0,0.0,5.5,1,1.0,7276.000000000001,3,1.0
69691,6600.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1166.0,2.0,29700,172240,165000,0,1,0.0,0.0,0.0,5.3,1,1.0,6600.000000000001,3,1.0
93675,3720.0,0.0,2.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1100.0,2.0,33480,126270,220000,0,1,0.0,0.0,0.0,9.7,1,1.0,3720.0,2,2.0
123727,6200.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,3,0.0,2.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1326.0,2.0,20150,54070,27399,0,1,0.0,0.0,0.0,5.6,1,1.0,6200.0,3,1.0
75982,6250.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1,2.0,4.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1969.0,2.0,14060,95750,104000,0,1,0.0,0.0,0.0,7.5,1,1.0,6250.000000000001,4,2.0
166884,13929.0,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,1.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,2476.0,2.0,48750,184330,1,0,1,0.0,0.0,0.0,1.3,0,1.0,13929.000000000004,4,2.5
988,8331.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,0.0,4.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1415.0,1.0,33320,102450,89000,0,1,0.0,0.0,0.0,3.9,1,1.0,8331.000000000002,3,1.5
193154,8749.0,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,3.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,3,2530.0,2.0,43740,325860,360000,0,1,0.0,0.0,0.0,3.2,1,1.0,8748.999999999998,4,2.5
38385,2400.0,0.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,1.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,2563.0,2.0,84000,656640,910000,0,1,0.0,0.0,0.0,1.3,1,1.0,2400.0,3,2.5
173076,6160.0,0.0,4.0,1.0,1.0,3.0,1.0,5.0,0.0,1.0,1.0,1,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,2219.0,2.0,30800,378520,785000,0,1,0.0,0.0,0.0,10.6,1,1.0,6159.999999999999,3,1.5
86615,8750.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1141.0,2.0,39370,233060,230000,0,1,0.0,0.0,0.0,4.2,1,1.0,8749.999999999996,3,1.5
96451,7118.0,0.0,1.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1419.0,2.0,26690,165590,269000,0,1,0.0,0.0,0.0,5.4,1,1.0,7118.000000000001,4,2.5
155172,8470.0,0.0,3.0,1.0,3.0,3.0,1.0,5.0,0.0,1.0,3.0,0,0.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1553.0,2.0,160930,414190,600000,0,1,0.0,0.0,0.0,5.7,1,1.0,8470.000000000002,4,2.0
187342,4250.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,3,0.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1162.0,2.0,31870,135420,250000,0,1,0.0,0.0,0.0,6.2,1,1.0,4249.999999999999,3,1.0
91520,5859.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,3,1.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1269.0,2.0,70300,233110,325000,0,1,0.0,0.0,0.0,10.5,1,1.0,5859.0,2,1.0
195100,31100.0,0.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,3,0.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,2,2730.0,2.0,77750,214740,189500,0,1,0.0,0.0,0.0,5.8,1,1.0,31100.000000000004,5,2.0
151712,7724.0,0.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,0.0,2.0,3,0.0,2.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,1,2581.0,2.0,55990,352560,516000,0,1,0.0,0.0,0.0,6.3,1,1.0,7723.999999999999,5,3.0
131946,10580.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0,0.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1120.0,2.0,34380,70280,95000,0,1,0.0,0.0,0.0,5.4,1,1.0,10580.0,3,1.0
41294,7864.0,0.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,0.0,2.0,3,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,1414.0,2.0,49150,212640,422500,0,1,0.0,0.0,0.0,6.1,1,0.0,7863.999999999999,4,2.5
2815,4075.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,1,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,1394.0,2.0,34630,162390,165000,0,1,0.0,0.0,0.0,6.5,1,0.0,4075.000000000001,2,2.5
103909,4781.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,2844.0,2.0,35850,136170,1,0,1,0.0,0.0,1.0,12.7,0,1.0,4781.000000000001,5,3.0
102627,3000.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0,2.0,3.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,3,3609.0,2.0,270000,1701280,1740000,0,1,0.0,0.0,0.0,1.3,1,1.0,2999.9999999999995,4,4.5
126959,8062.0,0.0,4.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,1.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,3022.0,2.0,76580,608030,695000,0,1,0.0,0.0,0.0,1.5,1,1.0,8062.000000000001,4,2.5
21255,6543.0,0.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,0.0,2.0,3,0.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1049.0,2.0,21260,31210,8000,0,1,0.0,0.0,0.0,8.8,0,1.0,6543.0,2,1.0
60732,8576.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1196.0,2.0,36440,174730,270000,0,1,0.0,0.0,0.0,5.1,1,1.0,8576.0,3,2.0
175328,4216.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,1,2.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1673.0,2.0,46370,185540,270000,0,1,0.0,0.0,0.0,9.9,1,1.0,4215.999999999999,2,1.5
88787,9353.0,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,3,2.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1412.0,2.0,46760,232980,299900,0,1,0.0,0.0,0.0,4.8,1,1.0,9353.000000000002,3,2.5
27469,54724.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,2.0,5.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,3,3436.0,2.0,82080,496170,590000,0,1,0.0,0.0,0.0,2.6,1,1.0,54724.000000000015,4,2.5
23952,12250.0,0.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,3.0,0,0.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,2403.0,2.0,55120,253100,277000,0,1,0.0,0.0,0.0,3.1,1,1.0,12250.000000000002,4,3.0
192897,3720.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,828.0,2.0,31620,95200,100000,0,1,0.0,0.0,0.0,10.1,1,0.0,3720.0,2,1.0
140901,6850.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1586.0,2.0,34250,82390,155000,0,1,0.0,0.0,0.0,10.0,1,1.0,6850.000000000001,3,1.0
180000,4080.0,0.0,2.0,1.0,4.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1032.0,2.0,30600,102570,1,0,1,0.0,0.0,1.0,5.7,0,1.0,4080.0,3,1.0
143096,4375.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1421.0,2.0,21870,117110,165000,0,1,0.0,0.0,0.0,7.0,1,1.0,4375.000000000001,4,2.0
171367,3150.0,0.0,3.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,630.0,2.0,63000,152050,302000,0,1,0.0,0.0,0.0,10.1,1,1.0,3149.9999999999995,2,1.0
164383,4960.0,0.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,3,0.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1410.0,2.0,49600,275040,1,0,1,0.0,0.0,0.0,9.0,0,1.0,4960.0,3,1.5
16125,6200.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,2.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1384.0,2.0,60450,207600,240500,0,1,0.0,0.0,0.0,5.5,1,1.0,6200.0,3,1.0
185068,8125.0,0.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,3.0,0,0.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1992.0,2.0,44680,189040,246000,0,1,0.0,0.0,0.0,2.1,1,1.0,8124.999999999997,3,2.0
